area_name,count,percent
Тбилиси,7616,0.00120%
Череповец,7603,0.00120%
Петрозаводск,7471,0.00118%
Сургут,7272,0.00115%
Атырау,7191,0.00114%
Магнитогорск,7142,0.00113%
Мурманск,7079,0.00112%
Курган,6842,0.00108%
Улан-Удэ,6758,0.00107%
Гродно,6696,0.00106%
Мытищи,6605,0.00104%
Псков,6579,0.00104%
Витебск,6078,0.00096%
Обнинск,6076,0.00096%
Чита,5815,0.00092%
Благовещенск (Амурская область),5771,0.00091%
Шымкент,5249,0.00083%
Новороссийск,5229,0.00083%
Могилев,5158,0.00081%
Кипр,4867,0.00077%
Красногорск,4856,0.00077%
Одинцово,4759,0.00075%
Иннополис,4738,0.00075%
Дзержинск (Нижегородская область),4666,0.00074%
Королев,4539,0.00072%
Балашиха,4491,0.00071%
Люберцы,4474,0.00071%
Усть-Каменогорск,4405,0.00070%
Южно-Сахалинск,4285,0.00068%
Павлодар,4219,0.00067%
Пятигорск,4217,0.00067%
Нижневартовск,4210,0.00066%
Россия,4156,0.00066%
Домодедово,4051,0.00064%
Армения,4023,0.00064%
Донецк (Украина),3950,0.00062%
Старый Оскол,3922,0.00062%
Сыктывкар,3913,0.00062%
Нижний Тагил,3847,0.00061%
Якутск,3696,0.00058%
Махачкала,3598,0.00057%
Запорожье,3467,0.00055%
Альметьевск,3455,0.00055%
Костанай,3433,0.00054%
Баку,3324,0.00052%
Щелково,3293,0.00052%
Новый Уренгой,3178,0.00050%
Стерлитамак,3170,0.00050%
Актобе,3129,0.00049%
Волжский(Волгоградская область),3116,0.00049%
Нижнекамск,3110,0.00049%
Новочеркасск,3104,0.00049%
Абакан,3080,0.00049%
Энгельс,3059,0.00048%
Петропавловск-Камчатский,3010,0.00048%
Ханты-Мансийск,2995,0.00047%
Рыбинск,2981,0.00047%
Долгопрудный,2731,0.00043%
Раменское,2675,0.00042%
Норильск,2670,0.00042%
Актау,2659,0.00042%
Бийск,2609,0.00041%
Ногинск,2490,0.00039%
Винница,2459,0.00039%
Жуковский,2440,0.00039%
Пушкино (Московская область),2428,0.00038%
Ангарск,2424,0.00038%
Дубна,2373,0.00037%
Комсомольск-на-Амуре,2372,0.00037%
Уральск,2311,0.00036%
США,2311,0.00036%
Лобня,2297,0.00036%
Миасс,2293,0.00036%
Сергиев Посад,2290,0.00036%
Ковров,2287,0.00036%
Братск,2259,0.00036%
Волгодонск,2252,0.00036%
Магадан,2218,0.00035%
Серпухов,2215,0.00035%
Солнечногорск,2193,0.00035%
Коломна,2183,0.00034%
Шахты,2156,0.00034%
Волжский (Волгоградская область),2123,0.00034%
Орск,2100,0.00033%
Владикавказ,1999,0.00032%
Дмитров,1990,0.00031%
Электросталь,1981,0.00031%
Петропавловск,1975,0.00031%
Бердск,1975,0.00031%
Николаев,1971,0.00031%
Новомосковск (Тульская область),1964,0.00031%
Ноябрьск,1888,0.00030%
Сербия,1833,0.00029%
Нефтеюганск,1822,0.00029%
Сызрань,1803,0.00028%
Анапа,1781,0.00028%
Чехов,1766,0.00028%
Нефтекамск,1737,0.00027%
Майкоп,1721,0.00027%
Видное,1713,0.00027%
Германия,1708,0.00027%
Армавир,1688,0.00027%
Клин,1663,0.00026%
Елабуга,1660,0.00026%
Муром,1650,0.00026%
Польша,1646,0.00026%
Арзамас,1644,0.00026%
Истра,1633,0.00026%
Батайск,1625,0.00026%
Димитровград,1603,0.00025%
Балаково,1599,0.00025%
Каменск-Уральский,1596,0.00025%
Наро-Фоминск,1578,0.00025%
Зеленодольск (Республика Татарстан),1576,0.00025%
Ялта,1562,0.00025%
Железнодорожный,1557,0.00025%
Орехово-Зуево,1556,0.00025%
Находка,1556,0.00025%
Березники,1542,0.00024%
Кстово,1538,0.00024%
Златоуст,1534,0.00024%
Верхняя Пышма,1528,0.00024%
Новочебоксарск,1513,0.00024%
Новокуйбышевск,1456,0.00023%
Салават,1452,0.00023%
Кокшетау,1434,0.00023%
Тобольск,1428,0.00023%
Уссурийск,1425,0.00023%
Адлер,1415,0.00022%
Октябрьский (Республика Башкортостан),1389,0.00022%
Артем,1388,0.00022%
Первоуральск,1370,0.00022%
Семей,1319,0.00021%
Ступино,1319,0.00021%
Фрязино,1318,0.00021%
Прокопьевск,1313,0.00021%
Северодвинск,1311,0.00021%
Чернигов,1296,0.00020%
Тараз,1296,0.00020%
Черкассы,1264,0.00020%
Реутов,1242,0.00020%
Нальчик,1236,0.00020%
Элиста,1229,0.00019%
Житомир,1223,0.00019%
Московская область - Север,1192,0.00019%
Гатчина,1182,0.00019%
Аксай (Ростовская область),1165,0.00018%
Троицк (Московская область),1161,0.00018%
Центральный округ,1134,0.00018%
Херсон,1129,0.00018%
Ессентуки,1120,0.00018%
Батуми,1115,0.00018%
Полтава,1112,0.00018%
Колпино,1106,0.00017%
Ачинск,1105,0.00017%
Грозный,1081,0.00017%
Всеволожск,1076,0.00017%
Ивантеевка,1053,0.00017%
Елец,1051,0.00017%
Азов,1034,0.00016%
Луганск,1024,0.00016%
Минеральные Воды,1016,0.00016%
Невинномысск,1016,0.00016%
Горно-Алтайск,1011,0.00016%
Выкса,1011,0.00016%
Березовский (Свердловская область),1010,0.00016%
Керчь,995,0.00016%
Черкесск,994,0.00016%
Украина,987,0.00016%
Турция,976,0.00015%
Великие Луки,968,0.00015%
Кривой Рог,962,0.00015%
Камышин,955,0.00015%
Геленджик,954,0.00015%
Талдыкорган,927,0.00015%
Александров,924,0.00015%
Северск (Томская область),917,0.00014%
Воткинск,916,0.00014%
Салехард,900,0.00014%
Ухта,897,0.00014%
Железногорск (Курская область),894,0.00014%
Саров,885,0.00014%
Копейск,880,0.00014%
Выборг,865,0.00014%
Сарапул,865,0.00014%
Климовск (Московская область),863,0.00014%
Туапсе,856,0.00014%
Кызыл,855,0.00014%
Кингисепп,854,0.00013%
Рубцовск,849,0.00013%
Кисловодск,847,0.00013%
Воскресенск,847,0.00013%
Бузулук,827,0.00013%
Бор,813,0.00013%
Кызылорда,811,0.00013%
Голицыно,806,0.00013%
Евпатория,790,0.00012%
Тихвин,789,0.00012%
Хмельницкий,780,0.00012%
Нахабино,779,0.00012%
Ленинск-Кузнецкий,772,0.00012%
Котельники,769,0.00012%
Глазов,768,0.00012%
Бугульма,768,0.00012%
Новошахтинск,768,0.00012%
Барановичи,761,0.00012%
Черногория,760,0.00012%
Сумы,750,0.00012%
Павловский Посад,747,0.00012%
Аксай (Казахстан),745,0.00012%
Чехия,742,0.00012%
Биробиджан,736,0.00012%
Ростов (Ярославская область),736,0.00012%
Егорьевск,728,0.00011%
Дзержинский,722,0.00011%
Соликамск,721,0.00011%
Белово,711,0.00011%
Щербинка,701,0.00011%
Самарканд,700,0.00011%
Мариуполь,685,0.00011%
Звенигород,682,0.00011%
Каменск-Шахтинский,680,0.00011%
Кубинка,676,0.00011%
Чайковский,658,0.00010%
Борисоглебск,654,0.00010%
Можайск,654,0.00010%
Черновцы,653,0.00010%
Свободный,653,0.00010%
Искитим,652,0.00010%
Борисов,650,0.00010%
Волжск,640,0.00010%
Темиртау,639,0.00010%
Переславль-Залесский,639,0.00010%
Ивано-Франковск,639,0.00010%
Финляндия,632,0.00010%
Междуреченск,632,0.00010%
Луцк,630,0.00010%
Тернополь,620,0.00010%
Кирово-Чепецк,615,0.00010%
Нерюнгри,604,0.00010%
Когалым,596,0.00009%
Пушкин,594,0.00009%
Славянск-на-Кубани,589,0.00009%
Малоярославец,576,0.00009%
Киселевск,576,0.00009%
Дедовск,573,0.00009%
Феодосия,573,0.00009%
Московская область - Юг,572,0.00009%
Серов,571,0.00009%
Апатиты,568,0.00009%
ОАЭ,565,0.00009%
Туймазы,563,0.00009%
Тихорецк,562,0.00009%
Ишимбай,559,0.00009%
Краснознаменск (Московская область),553,0.00009%
Кропоткин,553,0.00009%
Ровно,552,0.00009%
Экибастуз,552,0.00009%
Ржев,549,0.00009%
Полоцк,549,0.00009%
Лиски,548,0.00009%
Алексин,547,0.00009%
Гусь-Хрустальный,547,0.00009%
Кировоград,547,0.00009%
Мичуринск,546,0.00009%
Лыткарино,545,0.00009%
Кашира,541,0.00009%
Темрюк,541,0.00009%
Новоалтайск,534,0.00008%
Бронницы,528,0.00008%
Белорецк,527,0.00008%
Новоуральск,522,0.00008%
Луховицы,522,0.00008%
Ейск,520,0.00008%
Бобруйск,513,0.00008%
Россошь,500,0.00008%
Губкин,500,0.00008%
Усинск,500,0.00008%
Кириши,497,0.00008%
Московский,494,0.00008%
Павлово,494,0.00008%
Московская область - Восток,493,0.00008%
Тимашевск,489,0.00008%
Вязьма,486,0.00008%
Канск,485,0.00008%
Нягань,484,0.00008%
Балабаново,481,0.00008%
Беларусь,479,0.00008%
Усть-Лабинск,478,0.00008%
Тосно,478,0.00008%
Великобритания,477,0.00008%
Балахна,476,0.00008%
Железногорск (Красноярский край),475,0.00008%
Мирный (Республика Саха (Якутия)),472,0.00007%
Усть-Кут,471,0.00007%
Узловая,464,0.00007%
Благовещенск (Республика Башкортостан),463,0.00007%
Китай,462,0.00007%
Апрелевка,459,0.00007%
Кировск (Ленинградская область),457,0.00007%
Торжок,455,0.00007%
Волхов,454,0.00007%
Крымск,450,0.00007%
Менделеевск,450,0.00007%
Шадринск,448,0.00007%
Жезказган,446,0.00007%
Пинск,445,0.00007%
Молодечно,444,0.00007%
Чапаевск,444,0.00007%
Воркута,443,0.00007%
Кумертау,439,0.00007%
Шуя,439,0.00007%
Усть-Илимск,438,0.00007%
Асбест,437,0.00007%
Новополоцк,436,0.00007%
Новотроицк (Оренбургская область),435,0.00007%
Усолье-Сибирское,435,0.00007%
Старая Купавна,434,0.00007%
Алушта,433,0.00007%
Туркестан,432,0.00007%
Белебей,431,0.00007%
Михайловск (Ставропольский край),428,0.00007%
Кунгур,428,0.00007%
Назрань,424,0.00007%
Мончегорск,419,0.00007%
Алексеевка,417,0.00007%
Заволжье,416,0.00007%
Чистополь,412,0.00007%
Щекино,412,0.00007%
Киржач,406,0.00006%
Павловск (Воронежская область),404,0.00006%
Волоколамск,403,0.00006%
Сосновый Бор,402,0.00006%
Латвия,401,0.00006%
Каспийск,399,0.00006%
Полевской,398,0.00006%
Троицк (Челябинская область),397,0.00006%
Черноголовка,396,0.00006%
Руза,396,0.00006%
Грязи,393,0.00006%
Богородск,392,0.00006%
Шелехов,391,0.00006%
Южноуральск,390,0.00006%
Жигулевск,390,0.00006%
Лысьва,388,0.00006%
Дербент,387,0.00006%
Губкинский,385,0.00006%
Шебекино,385,0.00006%
Ишим,385,0.00006%
Юрга,384,0.00006%
Московская область - Запад,383,0.00006%
Минусинск,381,0.00006%
Белогорск,381,0.00006%
Электроугли,380,0.00006%
Балашов,379,0.00006%
Северо-Западный округ,377,0.00006%
Нововоронеж,374,0.00006%
Краснокамск,373,0.00006%
Краснотурьинск,371,0.00006%
Вятские Поляны,371,0.00006%
Заинск,370,0.00006%
Рудный,370,0.00006%
Белореченск,369,0.00006%
Кузнецк,369,0.00006%
Ужгород,367,0.00006%
Ревда,367,0.00006%
Большой Камень,364,0.00006%
Солигорск,361,0.00006%
Озерск (Челябинская область),361,0.00006%
Мозырь,360,0.00006%
Сибай,360,0.00006%
Конаково,359,0.00006%
Кулебаки,358,0.00006%
Михайловка (Волгоградская область),357,0.00006%
Кыштым,353,0.00006%
Сальск,353,0.00006%
Людиново,353,0.00006%
Кишинёв,352,0.00006%
Кольчугино,351,0.00006%
Литва,348,0.00005%
Кимры,346,0.00005%
Хасавюрт,346,0.00005%
Можга,338,0.00005%
Лесосибирск,337,0.00005%
Алейск,335,0.00005%
Обь,334,0.00005%
Кировск (Мурманская область),332,0.00005%
Джанкой,331,0.00005%
Сасово,331,0.00005%
Заринск,329,0.00005%
Нидерланды,326,0.00005%
Эстония,326,0.00005%
Донской,326,0.00005%
Болгария,324,0.00005%
Таиланд,324,0.00005%
Лениногорск,324,0.00005%
Георгиевск,324,0.00005%
Удачный,322,0.00005%
Ефремов,321,0.00005%
Тутаев,320,0.00005%
Мелеуз,319,0.00005%
Городец,313,0.00005%
Саки,313,0.00005%
Покров,311,0.00005%
Кореновск,311,0.00005%
Анжеро-Судженск,308,0.00005%
Канаш,308,0.00005%
Пыть-Ях,307,0.00005%
Котлас,305,0.00005%
Абинск,305,0.00005%
Саяногорск,304,0.00005%
Казахстан,304,0.00005%
Касимов,304,0.00005%
Гуково,302,0.00005%
Анадырь,302,0.00005%
Старый Крым,302,0.00005%
Сосновый Бор (Ленинградская область),300,0.00005%
Коркино,299,0.00005%
Мегион,298,0.00005%
Гусев,297,0.00005%
Яхрома,297,0.00005%
Лебедянь,296,0.00005%
Буинск,296,0.00005%
Орша,295,0.00005%
Кинель,295,0.00005%
Динская станица,294,0.00005%
Бугуруслан,293,0.00005%
Черногорск,293,0.00005%
Сертолово,287,0.00005%
Красное Село,287,0.00005%
Чусовой,287,0.00005%
Зеленогорск (Красноярский край),286,0.00005%
Учалы,285,0.00005%
Талдом,284,0.00004%
Арамиль,284,0.00004%
Чебаркуль,282,0.00004%
Буденновск,282,0.00004%
Миллерово,281,0.00004%
Ливны,281,0.00004%
Ломоносов,281,0.00004%
Красный Сулин,280,0.00004%
Лабинск,280,0.00004%
Лида,279,0.00004%
Горячий Ключ,279,0.00004%
Шатура,279,0.00004%
Жуков,277,0.00004%
Белая Калитва,276,0.00004%
Тында,276,0.00004%
Нарьян-Мар,274,0.00004%
Рославль,272,0.00004%
Боровичи,271,0.00004%
Юбилейный (Московская область),268,0.00004%
Курчатов,268,0.00004%
Среднеуральск,267,0.00004%
Донецк (Ростовская область),266,0.00004%
Клинцы,266,0.00004%
Ирбит,266,0.00004%
Бодайбо,264,0.00004%
Осинники,264,0.00004%
Черемхово,264,0.00004%
Мыски,263,0.00004%
Красноармейск (Московская область),263,0.00004%
Заречный (Пензенская область),263,0.00004%
Судак,262,0.00004%
Кременчуг,262,0.00004%
Рузаевка,259,0.00004%
Киров (Калужская область),259,0.00004%
Швеция,259,0.00004%
Заречный (Свердловская область),257,0.00004%
Мценск,257,0.00004%
Вольск,257,0.00004%
Кинешма,257,0.00004%
Дзержинск (Беларусь),255,0.00004%
Таджикистан,255,0.00004%
Лосино-Петровский,255,0.00004%
Нижегородская область,254,0.00004%
Стрежевой,254,0.00004%
Ахтубинск,254,0.00004%
Алдан,253,0.00004%
Муравленко,250,0.00004%
Надым,250,0.00004%
Донецк,249,0.00004%
Петергоф,247,0.00004%
Урюпинск,247,0.00004%
Арсеньев,246,0.00004%
Протвино,246,0.00004%
Скопин,246,0.00004%
Амурск,246,0.00004%
Черняховск,245,0.00004%
Тайшет,244,0.00004%
Жодино,243,0.00004%
Испания,243,0.00004%
Зарайск,243,0.00004%
Лысково,243,0.00004%
Луга,243,0.00004%
Отрадный (Самарская область),242,0.00004%
Шумерля,241,0.00004%
Навашино,240,0.00004%
Азнакаево,240,0.00004%
Электрогорск,240,0.00004%
Оленегорск,238,0.00004%
Красноперекопск,237,0.00004%
Семенов,233,0.00004%
Углич,233,0.00004%
Еманжелинск,233,0.00004%
Костомукша,233,0.00004%
Советский,233,0.00004%
Хотьково,233,0.00004%
Сергач,232,0.00004%
Сосновоборск,232,0.00004%
Монино,231,0.00004%
Петушки,230,0.00004%
Боровск,230,0.00004%
Бирск,228,0.00004%
Елизово,227,0.00004%
Зерноград,227,0.00004%
Уральский округ,227,0.00004%
Слободской,225,0.00004%
Удомля,223,0.00004%
Вышний Волочек,223,0.00004%
Бавлы,222,0.00004%
Канада,221,0.00003%
Сафоново,221,0.00003%
Верхняя Салда,221,0.00003%
Мензелинск,221,0.00003%
Лаишево,221,0.00003%
Югорск,220,0.00003%
Днепродзержинск,218,0.00003%
Белогорск (Крым),218,0.00003%
Сестрорецк,218,0.00003%
Березовский (Кемеровская область),218,0.00003%
Ленск,217,0.00003%
Краснокаменск,217,0.00003%
Ярцево,216,0.00003%
Урай,216,0.00003%
Назарово,216,0.00003%
Железногорск-Илимский,215,0.00003%
Краматорск,215,0.00003%
Средне-Приволжский округ,215,0.00003%
Агрыз,214,0.00003%
Зеленогорск (Ленинградская обл),214,0.00003%
Богородицк,214,0.00003%
Балхаш,213,0.00003%
Железноводск,213,0.00003%
Мамадыш,213,0.00003%
Снежинск,211,0.00003%
Великий Устюг,211,0.00003%
Слуцк,211,0.00003%
Ванино,211,0.00003%
Ряжск,211,0.00003%
Дюртюли,211,0.00003%
Израиль,209,0.00003%
Советская Гавань,207,0.00003%
Губаха,207,0.00003%
Белая Церковь,206,0.00003%
Вязники,206,0.00003%
Камень-на-Оби,205,0.00003%
Ликино-Дулево,205,0.00003%
Семилуки,205,0.00003%
Апшеронск,204,0.00003%
Строитель (Белгородская область),204,0.00003%
Гурзуф,203,0.00003%
Венгрия,203,0.00003%
Селятино,203,0.00003%
Рыбное,202,0.00003%
Козьмодемьянск,202,0.00003%
Форос,201,0.00003%
Коктебель,201,0.00003%
Печора,201,0.00003%
Суздаль,200,0.00003%
Тамань,198,0.00003%
Алапаевск,198,0.00003%
Североморск,197,0.00003%
Сатка,197,0.00003%
Япония,197,0.00003%
Сегежа,195,0.00003%
Жлобин,195,0.00003%
Малаховка (Московская область),194,0.00003%
Лангепас,194,0.00003%
Дивногорск,193,0.00003%
Ленинградская станица,193,0.00003%
Урень,191,0.00003%
Западно-Сибирский округ,190,0.00003%
Новодвинск,190,0.00003%
Саянск,190,0.00003%
Шарыпово,190,0.00003%
Володарск,189,0.00003%
Кимовск,188,0.00003%
Томилино,188,0.00003%
Ош,187,0.00003%
Софрино,187,0.00003%
Сланцы,186,0.00003%
Острогожск,186,0.00003%
Ялуторовск,186,0.00003%
Арск,185,0.00003%
Северобайкальск,185,0.00003%
Омутнинск,184,0.00003%
Сухой Лог,184,0.00003%
Озеры,183,0.00003%
Новая Усмань,183,0.00003%
Гагарин,182,0.00003%
Славгород (Алтайский край),181,0.00003%
Качканар,181,0.00003%
Морозовск,181,0.00003%
Зима,180,0.00003%
Зверево,180,0.00003%
Реж,180,0.00003%
Шахунья,179,0.00003%
Радужный (Ханты-Мансийский АО - Югра),178,0.00003%
Валуйки,178,0.00003%
Мариинск,177,0.00003%
Каневская,177,0.00003%
Борисполь,177,0.00003%
Куровское,177,0.00003%
Собинка,177,0.00003%
Ясногорск,176,0.00003%
Калач,176,0.00003%
Эквадор,175,0.00003%
Красногвардейское,175,0.00003%
Янаул,175,0.00003%
Кандалакша,175,0.00003%
Кронштадт,174,0.00003%
Таштагол,174,0.00003%
Курганинск,173,0.00003%
Быково (Московская область),173,0.00003%
Котовск (Тамбовская область),173,0.00003%
Аша,172,0.00003%
Чкаловск,172,0.00003%
Котельнич,171,0.00003%
Пущино,171,0.00003%
Фролово,171,0.00003%
Красноуфимск,171,0.00003%
Михайлов,170,0.00003%
Дальнегорск,170,0.00003%
Молдавия,170,0.00003%
Капчагай,170,0.00003%
Дудинка (Красноярский край),170,0.00003%
Тулун,169,0.00003%
Изобильный,169,0.00003%
Ревда (Свердловская область),169,0.00003%
Богданович,169,0.00003%
Спасск-Дальний,169,0.00003%
Радужный (Владимирская область),168,0.00003%
Лукоянов,168,0.00003%
Добрянка,168,0.00003%
Гулькевичи,167,0.00003%
Старая Русса,167,0.00003%
Новомичуринск,167,0.00003%
Первомайск (Нижегородская область),167,0.00003%
Мурино,166,0.00003%
Звенигово,166,0.00003%
Яблоновский (Республика Адыгея),166,0.00003%
Австрия,166,0.00003%
Фергана,166,0.00003%
Бежецк,165,0.00003%
Черноморское,165,0.00003%
Мелитополь,165,0.00003%
Нефтегорск (Самарская область),165,0.00003%
Гурьевск (Калининградская область),164,0.00003%
Советск (Кировская область),164,0.00003%
Выселки,163,0.00003%
Вельск,163,0.00003%
Заполярный,163,0.00003%
Приозерск,163,0.00003%
Куйбышев,161,0.00003%
Южная Корея,161,0.00003%
Кондрово,161,0.00003%
Ветлуга,161,0.00003%
Яранск,161,0.00003%
Бокситогорск,160,0.00003%
Алатырь,160,0.00003%
Бердянск,160,0.00003%
Сердобск,160,0.00003%
Кондопога,159,0.00003%
Франция,159,0.00003%
Красноуральск,159,0.00003%
Московская область,158,0.00002%
Тарко-Сале,158,0.00002%
Шлиссельбург,158,0.00002%
Приморск (Ленинградская область),158,0.00002%
Лесной,158,0.00002%
Гурьевск (Кемеровская область),158,0.00002%
Советск (Калининградская область),158,0.00002%
Светлоград,158,0.00002%
Верхний Уфалей,157,0.00002%
Орлов,157,0.00002%
Бровары,157,0.00002%
Октябрьский (Московская область),156,0.00002%
Павловская Слобода,156,0.00002%
Светлогорск (Калининградская область),156,0.00002%
Нижнеудинск,156,0.00002%
Козельск,156,0.00002%
Белокуриха,155,0.00002%
Словакия,155,0.00002%
Котово,155,0.00002%
Красная Поляна,155,0.00002%
Ворсма,155,0.00002%
Черепаново,154,0.00002%
Киреевск,154,0.00002%
Сорочинск,154,0.00002%
Нурлат,153,0.00002%
Сысерть,153,0.00002%
Инкерман,153,0.00002%
Бобров,153,0.00002%
Чернушка,152,0.00002%
Коряжма,152,0.00002%
Северо-Центральный округ,152,0.00002%
Афипский,152,0.00002%
Белая Холуница,151,0.00002%
Новоульяновск,151,0.00002%
Кокошкино,151,0.00002%
Усть-Катав,150,0.00002%
Бутурлиновка,150,0.00002%
Десногорск,150,0.00002%
Мирный (Архангельская область),150,0.00002%
Забайкальск,150,0.00002%
Северская станица,150,0.00002%
Брюховецкая станица,150,0.00002%
Ворсино (Калужская область),149,0.00002%
Риддер (ВКО),149,0.00002%
Обухово,149,0.00002%
Рассказово,149,0.00002%
Котельниково,149,0.00002%
Уржум,148,0.00002%
Ирландия,148,0.00002%
Малмыж,148,0.00002%
Гай,148,0.00002%
Кирс,147,0.00002%
Калач-на-Дону,147,0.00002%
Линево (Новосибирская область),147,0.00002%
Узбекистан,147,0.00002%
Норвегия,146,0.00002%
Новый Оскол,146,0.00002%
Кораблино,146,0.00002%
Балтийск,146,0.00002%
Воронежская область,146,0.00002%
Нижний Ломов,145,0.00002%
Лазаревское,145,0.00002%
Валдай,144,0.00002%
Белоусово,144,0.00002%
Гаврилов-Ям,143,0.00002%
Перевоз,143,0.00002%
Богучар,143,0.00002%
Сортавала,142,0.00002%
Жирновск,142,0.00002%
Сковородино,142,0.00002%
Бахчисарай,142,0.00002%
Лесозаводск,141,0.00002%
Топки,141,0.00002%
Княгинино,141,0.00002%
Красково,141,0.00002%
Ипатово,141,0.00002%
Советский (Ханты-Мансийский АО),141,0.00002%
Лакинск,141,0.00002%
Бухара,141,0.00002%
Павловск (Ленинградская область),140,0.00002%
Николаевск-на-Амуре,140,0.00002%
Богучаны,140,0.00002%
Кудымкар,140,0.00002%
Щучинск,140,0.00002%
Невьянск,140,0.00002%
Андижан,139,0.00002%
Сосногорск,139,0.00002%
Данков,139,0.00002%
Почеп,139,0.00002%
Спасск-Рязанский,139,0.00002%
Сокол,138,0.00002%
Нолинск,138,0.00002%
Дальнереченск,138,0.00002%
Шарья,138,0.00002%
Дивеево,137,0.00002%
Макеевка,137,0.00002%
Маркс,137,0.00002%
Давлеканово,137,0.00002%
Карпинск,137,0.00002%
Карачев,137,0.00002%
Никольское,136,0.00002%
Прохладный,136,0.00002%
Каскелен,136,0.00002%
Мураши,136,0.00002%
Зуевка,134,0.00002%
Кольцово,133,0.00002%
Новозыбков,133,0.00002%
Артемовский,133,0.00002%
Бикин,133,0.00002%
Камышлов,133,0.00002%
Североуральск,133,0.00002%
Камешково,132,0.00002%
Верещагино,132,0.00002%
Луза,132,0.00002%
Сосновка,131,0.00002%
Крекшино,131,0.00002%
Семикаракорск,131,0.00002%
Спас-Клепики,131,0.00002%
Кировград,131,0.00002%
Аксу (Павлодар.обл),131,0.00002%
Ермолино (Калужская область),131,0.00002%
Вьетнам,131,0.00002%
Нижняя Тура,131,0.00002%
Карталы,131,0.00002%
Галич (Костромская область),130,0.00002%
Новокубанск,130,0.00002%
Другие регионы,130,0.00002%
Румыния,130,0.00002%
Бологое,130,0.00002%
Моршанск,129,0.00002%
Кудрово,129,0.00002%
Знаменск,129,0.00002%
Никополь,128,0.00002%
Сим,128,0.00002%
Горбатов,127,0.00002%
Белоозёрский (Московская область),127,0.00002%
Светогорск,127,0.00002%
Енисейск,126,0.00002%
Новоалександровск,126,0.00002%
Коммунарка,126,0.00002%
Исилькуль,126,0.00002%
Слюдянка,126,0.00002%
Ужур,125,0.00002%
Южный округ,124,0.00002%
Киренск,124,0.00002%
Юго-Центральный округ,124,0.00002%
Первомайское,124,0.00002%
Адыгейск,124,0.00002%
Воротынец,123,0.00002%
Приморско-Ахтарск,123,0.00002%
Павловская,123,0.00002%
Дрезна,123,0.00002%
Борзя,123,0.00002%
Цивильск,122,0.00002%
Кущевская станица,122,0.00002%
Байкальск,122,0.00002%
Полысаево,121,0.00002%
Усмань,121,0.00002%
Баймак,121,0.00002%
Кобрин,121,0.00002%
Подпорожье,121,0.00002%
Вознесенское (Нижегородская область),121,0.00002%
Барабинск,121,0.00002%
Фокино (Приморский край),121,0.00002%
Дятьково,121,0.00002%
Вольгинский,120,0.00002%
Калтан,120,0.00002%
Чудово,120,0.00002%
Лабытнанги,120,0.00002%
Очер,120,0.00002%
Коммунар,120,0.00002%
Степногорск,119,0.00002%
Гудермес,119,0.00002%
Короча,118,0.00002%
Похвистнево,118,0.00002%
Рошаль,118,0.00002%
Камбарка,117,0.00002%
Городище,117,0.00002%
Ардатов (Нижегородская область),117,0.00002%
Тара,117,0.00002%
